Upper,Column1,Min,Max,Units,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
POTASSIUM,Potassium,3.5,5,mEq/L,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,1/12/2020
SODIUM,Sodium,135,145,mEq/L,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
CO2,CO2,22,28,mEq/L,5/14/2019,5/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
CREATININE,Creatinine,0.8,1.3,mg/dL,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
CHLORINE,Chlorine,95,105,mEq/L,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
CALCIUM,Calcium,8.4,10.2,mg/dL,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,2/19/2020
GLUCOSE,Glucose,65,110,mg/dL,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
AST,AST,5,30,IU/L,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
ALT,ALT,5,30,IU/L,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
ALBUMIN,Albumin,3.5,5,g/dL,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
ALK PHOS,Alk Phos,50,100,IU/L,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
BUN,BUN,8,21,mg/dL,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
PROTEIN,Protein,3.5,5.2,g/dl,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
BILIRUBIN,Bilirubin,0.2,2,mg/dL,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
PH,pH,7.35,7.45,-,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
PCO2,pCO2,35,45,mmHg,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
BE,BE,-3,3,mEq/L,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
HCO3,HCO3,18,22,mEq/L,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
PT,PT,11,14,sec,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
PTT,PTT,20,40,sec,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
INR,INR,0.9,1.2,-,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
WBC,WBC,4,10,cells/mcl,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
RBC,RBC,4.7,6.1,cells/mcl,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
HGB,Hgb,12,17,gm/dL,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
HCT,Hct,36,47,%,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
MCV,MCV,80,100,um3,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
MCH,MCH,25.4,34.6,pg,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
MCHC,MCHC,30,35,%,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
RDW,RDW,11.5,14.5,%,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
PLT,Plt,150,400,cells/mm3,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
MPV,MPV,7.4,10.4,um3,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
PULSE,Pulse,60,100,beats/min,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
RESP RATE,Resp Rate,12,18,breaths/min,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
TEMP,Temp,96.6,100.4,F,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
SYS BP,Sys BP,90,120,mmHg,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
DIA BP,Dia BP,60,80,mmHg,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
PULSEOX,PulseOx,96,100,%,1/24/2019,2/23/2019,6/22/2019,7/21/2019,8/20/2019,9/19/2019,10/18/2019,11/17/2019,12/16/2019
